trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
52,False,"{'a': 0.7, 'e': 0.35345468195878016}",20,6,-9.64364176446,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.3464558103300574}",20,16,7.13505234932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.3395955256449391}",25,0,-124.568713491,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.7, 'e': 0.33287108369807955}",25,11,20.4028849018,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.32627979462303947}",25,14,13.467926916,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.31981902181630384}",20,13,-30.5900744189,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.7, 'e': 0.3134861808826053}",30,8,31.7884212391,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.30727873860113125}",20,0,-58.964061267,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
60,False,"{'a': 0.7, 'e': 0.30119421191220214}",20,0,-12.5396068542,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.2952301669240142}",25,13,11.7374857718,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.2893842179390506}",30,23,5.84104139594,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.2836540264997704}",35,16,10.8625186329,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.27803730045319414}",25,1,1.42418769696,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.2725317930340126}",20,4,-14.1127101781,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.26713530196585034}",30,0,9.31424738594,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.261845668580326}",20,0,-2.62339378654,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.2566607769535559}",30,20,-23.692751008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.7, 'e': 0.25157855305975646}",20,0,-48.1612314055,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.24659696394160643}",25,17,14.3806560205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.24171401689703645}",25,11,11.5556885795,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.23692775868212176}",25,10,10.0770843852,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.23223627472975883}",20,13,6.06754186682,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.22763768838381274}",20,1,-25.7752283461,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.7, 'e': 0.22313016014842982}",20,11,10.4550652043,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.21871188695221475}",20,4,15.7041489004,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.21438110142697794}",20,12,3.12408566299,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.21013607120076472}",25,0,-107.821084594,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
79,False,"{'a': 0.7, 'e': 0.20597509820488344}",25,13,19.4000084734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.20189651799465538}",20,9,22.4045706305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.19789869908361465}",20,9,12.7624130751,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.19398004229089189}",20,0,18.1403149046,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.1901389801015205}",20,16,8.3537487768,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.18637397603940997}",20,12,-1.17377290834,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.18268352405273466}",20,15,8.73398875274,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.17906614791149322}",30,20,20.0355145574,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.17552040061699686}",30,13,-17.5903460929,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.17204486382305054}",25,0,38.8154647913,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.1686381472685955}",30,12,-13.8059207771,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.7, 'e': 0.16529888822158653}",25,4,-51.2059580152,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
91,False,"{'a': 0.7, 'e': 0.16202575093388075}",20,0,-51.1911492656,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.7, 'e': 0.15881742610692068}",20,12,15.1716052969,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.1556726303679973}",35,9,28.7547328075,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.15259010575688386}",20,9,16.5355051444,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.14956861922263504}",25,8,19.0714583066,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.14660696213035015}",20,3,29.9830242236,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.14370394977770293}",25,14,24.6383732969,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.140858420921045}",25,18,15.0710184899,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.13806923731089282}",25,8,32.5426190699,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.1353352832366127}",20,12,16.1816628814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.13265546508012172}",25,7,29.8776911722,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.1300287108784259}",25,13,23.4020158693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.12745396989482075}",20,14,11.9177803396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.12493021219858241}",25,0,18.0279350533,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.7, 'e': 0.1224564282529819}",35,1,6.0093894231,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.12003162851145673}",20,15,8.86484057677,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.11765484302177918}",25,18,13.983229428,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.11532512103806251}",20,7,25.0764807057,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.11304153064044985}",20,3,30.1229866955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.11080315836233387}",25,12,26.243353667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.10860910882495796}",20,16,7.15800352,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.1064585043792528}",25,15,16.9516307583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.104350484754765}",20,5,26.0968117875,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.10228420671553744}",30,18,9.31492466443,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.1002588437228037}",30,24,10.7728349464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.09827358560436154}",25,15,8.07132343412,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
